,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol,fluorometer,notes
SAMPLE-047,1303.43,RFU,mashapaug,3,int,1,chla_rfu,24,6,2021,200,G04,filter volumes missing.  Used volumes from phycocyanin
SAMPLE-048,1360.32,RFU,mashapaug,3,int,2,chla_rfu,24,6,2021,200,G04,filter volumes missing.  Used volumes from phycocyanin
SAMPLE-049,1261.53,RFU,mashapaug,4,int,1,chla_rfu,24,6,2021,200,G04,filter volumes missing.  Used volumes from phycocyanin
SAMPLE-050,1271.82,RFU,mashapaug,4,int,2,chla_rfu,24,6,2021,200,G04,filter volumes missing.  Used volumes from phycocyanin
SAMPLE-051,1373.45,RFU,mashapaug,5,int,1,chla_rfu,24,6,2021,200,G04,filter volumes missing.  Used volumes from phycocyanin
SAMPLE-052,1365.99,RFU,mashapaug,5,int,2,chla_rfu,24,6,2021,200,G04,filter volumes missing.  Used volumes from phycocyanin
SAMPLE-053,1234.62,RFU,mashapaug,6,int,1,chla_rfu,24,6,2021,200,G04,filter volumes missing.  Used volumes from phycocyanin
SAMPLE-054,1190.57,RFU,mashapaug,6,int,2,chla_rfu,24,6,2021,200,G04,filter volumes missing.  Used volumes from phycocyanin
SAMPLE-055,1248.53,RFU,mashapaug,p,int,1,chla_rfu,24,6,2021,200,G04,filter volumes missing.  Used volumes from phycocyanin
SAMPLE-056,1288.19,RFU,mashapaug,p,int,2,chla_rfu,24,6,2021,200,G04,filter volumes missing.  Used volumes from phycocyanin
SAMPLE-057,1260.48,RFU,mashapaug,p,int,3,chla_rfu,24,6,2021,200,G04,filter volumes missing.  Used volumes from phycocyanin
SAMPLE-058,0.11,RFU,warwick,blank,int,1,blank,24,6,2021,na,G04,
SAMPLE-059,0.1,RFU,warwick,blank,int,2,blank,24,6,2021,na,G04,
SAMPLE-060,1099.72,RFU,warwick,1,int,1,chla_rfu,24,6,2021,200,G04,filter volumes missing.  Used volumes from phycocyanin
SAMPLE-061,1110.4,RFU,warwick,1,int,2,chla_rfu,24,6,2021,200,G04,filter volumes missing.  Used volumes from phycocyanin
SAMPLE-062,1201.6,RFU,warwick,2,int,1,chla_rfu,24,6,2021,200,G04,filter volumes missing.  Used volumes from phycocyanin
SAMPLE-063,1179.39,RFU,warwick,2,int,2,chla_rfu,24,6,2021,200,G04,filter volumes missing.  Used volumes from phycocyanin
SAMPLE-064,1364.46,RFU,warwick,3,int,1,chla_rfu,24,6,2021,200,G04,filter volumes missing.  Used volumes from phycocyanin
SAMPLE-065,1403,RFU,warwick,3,int,2,chla_rfu,24,6,2021,200,G04,filter volumes missing.  Used volumes from phycocyanin
SAMPLE-066,1126.32,RFU,warwick,4,int,1,chla_rfu,24,6,2021,200,G04,filter volumes missing.  Used volumes from phycocyanin
SAMPLE-067,1061.95,RFU,warwick,4,int,2,chla_rfu,24,6,2021,200,G04,filter volumes missing.  Used volumes from phycocyanin
SAMPLE-068,1032.25,RFU,warwick,5,int,1,chla_rfu,24,6,2021,200,G04,filter volumes missing.  Used volumes from phycocyanin
SAMPLE-069,1050.71,RFU,warwick,5,int,2,chla_rfu,24,6,2021,200,G04,filter volumes missing.  Used volumes from phycocyanin
SAMPLE-070,993.09,RFU,warwick,6,int,1,chla_rfu,24,6,2021,200,G04,filter volumes missing.  Used volumes from phycocyanin
SAMPLE-071,983.47,RFU,warwick,6,int,2,chla_rfu,24,6,2021,200,G04,filter volumes missing.  Used volumes from phycocyanin
SAMPLE-072,1119.37,RFU,warwick,p,int,1,chla_rfu,24,6,2021,200,G04,filter volumes missing.  Used volumes from phycocyanin
SAMPLE-073,1138.65,RFU,warwick,p,int,2,chla_rfu,24,6,2021,200,G04,filter volumes missing.  Used volumes from phycocyanin
SAMPLE-074,1131.73,RFU,warwick,p,int,3,chla_rfu,24,6,2021,200,G04,filter volumes missing.  Used volumes from phycocyanin
SAMPLE-075,153.6,RFU,na,old solid std,na,na,chla_rfu,9,9,2021,na,G04,
SAMPLE-076,132.97,RFU,na,new solid std,na,na,chla_rfu,9,9,2021,na,G04,
